name,operation,key size(B),value size(B),thread,insert size,time(ns),vmrss(KB),file size(B)
Persy,get,8,256,8,23326,46007236488,6763112,16233
Persy,set,8,256,8,23834,47007383032,6763112,16233
Persy,get,8,256,8,23850,47007383032,6763112,16233
Persy,set,8,256,8,24342,48007526280,6763112,16265
Persy,get,8,256,8,24435,48007526280,6763112,16265
Persy,set,8,256,8,24857,49007669838,6763112,16265
Persy,get,8,256,8,24963,49007669838,6763112,16265
Persy,set,8,256,8,25398,50007878429,6763112,16265
Persy,get,8,256,8,25533,50007878429,6763112,16265
Persy,set,8,256,8,25941,51008032057,6763112,16201
Persy,get,8,256,8,26037,51008032057,6763112,16201
Persy,set,8,256,8,26450,52008182067,6763112,16201
Persy,get,8,256,8,26551,52008182067,6763112,16201
Persy,set,8,256,8,26987,53008333250,6763112,16201
Persy,get,8,256,8,27045,53008333250,6763112,16201
Persy,set,8,256,8,27503,54008487829,6763112,16297
Persy,get,8,256,8,27504,54008487829,6763112,16297
Persy,set,8,256,8,28023,55008633251,6763112,16265
Persy,get,8,256,8,28005,55008633251,6763112,16265
Persy,set,8,256,8,28516,56008780566,6763112,16265
Persy,get,8,256,8,28441,56008780566,6763112,16265
Persy,set,8,256,8,29057,57008931599,6763112,16393
Persy,get,8,256,8,28990,57008931599,6763112,16393
Persy,set,8,256,8,29618,58009083152,6763112,16393
Persy,get,8,256,8,29536,58009083152,6763112,16393
Persy,set,8,256,8,30150,59009245777,6763112,16393
Persy,get,8,256,8,30092,59009245777,6763112,16393
Persy,set,8,256,8,30675,60009389295,6763112,16393
Persy,get,8,256,8,30631,60009389295,6763112,16393
Persy,set,8,256,8,31086,61009555416,6763112,16393
Persy,get,8,256,8,31065,61009555416,6763112,16393
Persy,set,8,256,8,31356,62009693844,6763112,16585
Persy,get,8,256,8,31342,62009693844,6763112,16585
Persy,set,8,256,8,31555,63009839486,6763112,23177
Persy,get,8,256,8,31570,63009839486,6763112,23177
Persy,set,8,256,8,32026,64009985810,6763112,24457
Persy,get,8,256,8,32046,64009985810,6763112,24457
Persy,set,8,256,8,32560,65010134999,6763112,24329
Persy,get,8,256,8,32586,65010134999,6763112,24329
Persy,set,8,256,8,32996,66010301711,6763112,27763
Persy,get,8,256,8,33032,66010301711,6763112,27763
Persy,set,8,256,8,33444,67010469695,6763112,31893
Persy,get,8,256,8,33568,67010469695,6763112,31893
Persy,set,8,256,8,33980,68010606541,6763112,31893
Persy,get,8,256,8,34109,68010606541,6763112,31893
Persy,set,8,256,8,34498,69010752875,6763112,31893
Persy,get,8,256,8,34628,69010752875,6763112,31893
Persy,set,8,256,8,35020,70010882597,6763112,31893
Persy,get,8,256,8,35129,70010882597,6763112,31893
Persy,set,8,256,8,35510,71011032708,6763112,31989
Persy,get,8,256,8,35588,71011032708,6763112,31989
Persy,set,8,256,8,36071,72011183490,6763112,31957
Persy,get,8,256,8,36177,72011183490,6763112,31957
Persy,set,8,256,8,36625,73011362966,6763112,31957
Persy,get,8,256,8,36756,73011362966,6763112,31957
Persy,set,8,256,8,37189,74011506674,6763112,31957
Persy,get,8,256,8,37360,74011506674,6763112,31957
Persy,set,8,256,8,37739,75011672705,6763112,32149
Persy,get,8,256,8,37945,75011672705,6763112,32149
Persy,set,8,256,8,38293,76011817105,6763112,32149
Persy,get,8,256,8,38428,76011817105,6763112,32149
Persy,set,8,256,8,38815,77011995770,6763112,32149
Persy,get,8,256,8,38962,77011995770,6763112,32149
Persy,set,8,256,8,39334,78012150960,6763112,32149
Persy,get,8,256,8,39487,78012150960,6763112,32149
Persy,set,8,256,8,39874,79012294658,6763112,32149
Persy,get,8,256,8,40014,79012294658,6763112,32149
Persy,set,8,256,8,40422,80012446863,6763112,32149
Persy,get,8,256,8,40574,80012446863,6763112,32149
Persy,set,8,256,8,40959,81012622913,6763112,32149
Persy,get,8,256,8,41129,81012622913,6763112,32149
Persy,set,8,256,8,41489,82012772986,6763112,32149
Persy,get,8,256,8,41695,82012772986,6763112,32149
Persy,set,8,256,8,42015,83012918888,6763112,32149
Persy,get,8,256,8,42214,83012918888,6763112,32149
Persy,set,8,256,8,42538,84013086041,6763112,32149
Persy,get,8,256,8,42756,84013086041,6763112,32149
Persy,set,8,256,8,43013,85013227956,6763112,32149
Persy,get,8,256,8,43223,85013227956,6763112,32149
Persy,set,8,256,8,43587,86013373568,6763112,32149
Persy,get,8,256,8,43817,86013373568,6763112,32149
Persy,set,8,256,8,44145,87013542956,6763112,32181
Persy,get,8,256,8,44389,87013542956,6763112,32181
Persy,set,8,256,8,44705,88013713916,6763112,32181
Persy,get,8,256,8,44933,88013713916,6763112,32181
Persy,set,8,256,8,45246,89013876460,6763112,32181
Persy,get,8,256,8,45438,89013876460,6763112,32181
Persy,set,8,256,8,45787,90014030909,6763112,32277
Persy,get,8,256,8,45987,90014030909,6763112,32277
Persy,set,8,256,8,46293,91014169377,6763112,32277
Persy,get,8,256,8,46563,91014169377,6763112,32277
Persy,set,8,256,8,46810,92014308016,6763112,32245
Persy,get,8,256,8,47105,92014308016,6763112,32245
Persy,set,8,256,8,47339,93014449080,6763112,32245
Persy,get,8,256,8,47665,93014449080,6763112,32245
Persy,set,8,256,8,47864,94014595404,6763112,32245
Persy,get,8,256,8,48172,94014595404,6763112,32245
Persy,set,8,256,8,48363,95014764310,6763112,32757
Persy,get,8,256,8,48710,95014764310,6763112,32757
Persy,set,8,256,8,48868,96014875427,6763112,32821
Persy,get,8,256,8,49198,96014875427,6763112,32821
Persy,set,8,256,8,49337,97015023965,6763112,32955
Persy,get,8,256,8,49674,97015023965,6763112,32955
Persy,set,8,256,8,49712,98015174987,6763112,39342
Persy,get,8,256,8,50057,98015174987,6763112,39342
Persy,set,8,256,8,50158,99015337441,6763112,40814
Persy,get,8,256,8,50481,99015337441,6763112,40814
Persy,set,8,256,8,50714,100015478435,6763112,40814
Persy,get,8,256,8,51092,100015478435,6763112,40814
Persy,set,8,256,8,51272,101015635889,6763112,40814
Persy,get,8,256,8,51621,101015635889,6763112,40814
Persy,set,8,256,8,51823,102015781070,6763112,40814
Persy,get,8,256,8,52201,102015781070,6763112,40814
Persy,set,8,256,8,52363,103015933646,6763112,40910
Persy,get,8,256,8,52741,103015933646,6763112,40910
Persy,set,8,256,8,52907,104016077455,6763112,40814
Persy,get,8,256,8,53313,104016077455,6763112,40814
Persy,set,8,256,8,53421,105016222816,6763112,40814
Persy,get,8,256,8,53866,105016222816,6763112,40814
Persy,set,8,256,8,53924,106016365563,6763112,41006
Persy,get,8,256,8,54364,106016365563,6763112,41006
Persy,set,8,256,8,54467,107016522797,6763112,41070
Persy,get,8,256,8,54880,107016522797,6763112,41070
Persy,set,8,256,8,55011,108016672467,6763112,41070
Persy,get,8,256,8,55429,108016672467,6763112,41070
Persy,set,8,256,8,55547,109016821155,6763112,41070
Persy,get,8,256,8,55970,109016821155,6763112,41070
Persy,set,8,256,8,56088,110016980824,6763112,41070
Persy,get,8,256,8,56488,110016980824,6763112,41070
Persy,set,8,256,8,56609,111017125494,6763112,41070
Persy,get,8,256,8,56977,111017125494,6763112,41070
Persy,set,8,256,8,57132,112017277939,6763112,41070
Persy,get,8,256,8,57428,112017277939,6763112,41070
Persy,set,8,256,8,57616,113017430555,6763112,41262
Persy,get,8,256,8,57939,113017430555,6763112,41262
